author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
ТРЕНД,real_estate_agent,https://spb.cian.ru/sale/flat/302631537/,Санкт-Петербург,sale,flat,6,13,1,23.16,-1,0,5250000.0,Приморский,аллея Арцеуловская,9,Комендантский проспект,Полис Приморский 2
LEGENDA Development,developer,https://spb.cian.ru/sale/flat/297998493/,Санкт-Петербург,sale,flat,9,10,1,36.5,-1,0,15519800.0,Приморский,Лисичанская ,22,Черная речка,"Лисичанская, 22"
ТРЕНД,real_estate_agent,https://spb.cian.ru/sale/flat/302631472/,Санкт-Петербург,sale,flat,8,9,1,44.0,-1,0,8300000.0,Пушкинский,Кедринская ,8,Звездная,
Петербургская Недвижимость,representative_developer,https://spb.cian.ru/sale/flat/303812812/,Санкт-Петербург,sale,flat,2,12,1,34.82,-1,0,13050205.0,Выборгский,Светлановское,,Удельная,Панорама парк Сосновка
ТРЕНД,real_estate_agent,https://spb.cian.ru/sale/flat/303875060/,Санкт-Петербург,sale,flat,13,24,1,56.2,-1,0,7500000.0,Пушкинский,Первомайская ,16,Купчино,Шушары
Унистрой,developer,https://spb.cian.ru/sale/flat/277296353/,Санкт-Петербург,sale,flat,7,10,2,76.8,-1,0,22120000.0,Красногвардейский,шоссе Революции,3к2,Площадь Ленина,Upoint на Пискарёвском
ТРЕНД,real_estate_agent,https://spb.cian.ru/sale/flat/302631220/,Санкт-Петербург,sale,flat,20,24,1,21.0,-1,0,5050000.0,Приморский, Плесецкая,10,Комендантский проспект,Полис на Комендантском
Арсенал-Недвижимость,developer,https://spb.cian.ru/sale/flat/294001919/,Санкт-Петербург,sale,flat,2,12,2,65.44,-1,0,14724000.0,Приморский,проспект Авиаконструкторов,54,Комендантский проспект,Modum
ТРЕНД,real_estate_agent,https://spb.cian.ru/sale/flat/302688164/,Санкт-Петербург,sale,flat,13,13,-1,26.5,-1,0,5999999.0,Невский,Варфоломеевская ,6,Ломоносовская,Апарт-отель Начало
RBI,developer,https://spb.cian.ru/sale/flat/304057449/,Санкт-Петербург,sale,flat,3,9,1,31.7,-1,0,15255000.0,Центральный,Миргородская ,1,Площадь Восстания,Миръ
ТРЕНД,real_estate_agent,https://spb.cian.ru/sale/flat/302632546/,Санкт-Петербург,sale,flat,2,15,3,110.5,-1,0,22001000.0,Выборгский, Асафьева,9К1,Проспект Просвещения,
GloraX,developer,https://spb.cian.ru/sale/flat/300830637/,Санкт-Петербург,sale,flat,14,15,2,51.74,-1,0,10939999.0,Выборгский,,,,Глоракс Парголово ЖК
ТРЕНД,real_estate_agent,https://spb.cian.ru/sale/flat/302631569/,Санкт-Петербург,sale,flat,4,4,3,193.0,-1,0,35000000.0,Василеостровский,7-я Васильевского острова линия,28,Василеостровская,
ЛСР Санкт-Петербург,developer,https://spb.cian.ru/sale/flat/303416685/,Санкт-Петербург,sale,flat,8,25,1,30.21,-1,0,6416604.0,Красногвардейский,м. Гражданский проспект,,Гражданский проспект,Ручьи ЖК
ТРЕНД,real_estate_agent,https://spb.cian.ru/sale/flat/302631047/,Санкт-Петербург,sale,flat,5,6,-1,166.0,-1,0,29900000.0,Петроградский,Пионерская ,35,Чкаловская,
LEGENDA Development,developer,https://spb.cian.ru/sale/flat/297998530/,Санкт-Петербург,sale,flat,5,10,2,55.67,-1,0,21577692.0,Приморский,Лисичанская ,22,Пионерская,"Лисичанская, 22"
Гранит Инвест,real_estate_agent,https://spb.cian.ru/sale/flat/304282774/,Санкт-Петербург,sale,flat,2,5,3,147.1,-1,0,88260000.0,Петроградский,набережная Мартынова,74Б,Крестовский остров,
Петербургская Недвижимость,representative_developer,https://spb.cian.ru/sale/flat/303870435/,Санкт-Петербург,sale,flat,2,12,2,72.79,-1,0,19300195.0,Выборгский,Светлановское,,Удельная,Панорама парк Сосновка
Гранит Инвест,real_estate_agent,https://spb.cian.ru/sale/flat/304283140/,Санкт-Петербург,sale,flat,3,8,3,138.7,-1,0,77672000.0,Петроградский,Морской проспект,33,Крестовский остров,Морской 33
Балтийская жемчужина,developer,https://spb.cian.ru/sale/flat/301002994/,Санкт-Петербург,sale,flat,3,4,1,54.1,-1,0,16887315.0,Красносельский,проспект Патриотов,33,,Riviera club
Вероника Дадыкина,realtor,https://spb.cian.ru/sale/flat/304508270/,Санкт-Петербург,sale,flat,9,13,1,32.8,-1,0,11190000.0,Красногвардейский,Пискаревский проспект,1,Площадь Ленина,Четыре горизонта
GloraX,developer,https://spb.cian.ru/sale/flat/279352025/,Санкт-Петербург,sale,flat,13,14,1,26.2,-1,0,10089999.0,Красногвардейский,проспект Энергетиков,2к1,,GloraX Заневский
NF GROUP  St Petersburg,real_estate_agent,https://spb.cian.ru/sale/flat/299922056/,Санкт-Петербург,sale,flat,2,9,2,159.3,-1,0,122660000.0,Центральный,набережная Реки Фонтанки,76к2,Звенигородская,Фонтанка 76
Sun Development,developer,https://spb.cian.ru/sale/flat/302829854/,Санкт-Петербург,sale,flat,4,7,3,90.96,-1,0,28660412.0,Василеостровский,11-я Васильевского острова линия,56,Василеостровская,Клубный дом Monodom Line
Свой Мир,real_estate_agent,https://spb.cian.ru/sale/flat/297358768/,Санкт-Петербург,sale,flat,2,4,1,35.9,-1,0,5950000.0,Пушкинский, Сарицкая,9,Купчино,ЭкспоГрад 4
RBI,developer,https://spb.cian.ru/sale/flat/304057186/,Санкт-Петербург,sale,flat,2,6,3,97.7,-1,0,40177531.0,Центральный,Миргородская ,1,Площадь Александра Невского,Миръ
BEYOND. ex-Engel Volkers,real_estate_agent,https://spb.cian.ru/sale/flat/297829056/,Санкт-Петербург,sale,flat,6,6,4,205.0,-1,0,265000000.0,Петроградский,Спортивная ,2,Крестовский остров,Крестовский de luxe
LEGENDA Intelligent Development,developer,https://spb.cian.ru/sale/flat/301555845/,Санкт-Петербург,sale,flat,7,23,3,173.2,-1,0,55753080.0,Выборгский,аллея Академика Лихачева,7,Площадь Мужества,"Институтский, 16"
NF GROUP  St Petersburg,real_estate_agent,https://spb.cian.ru/sale/flat/303582472/,Санкт-Петербург,sale,flat,6,10,4,123.0,-1,0,57000000.0,Петроградский,Петровский проспект,5,Спортивная,ОСТРОВ
ЛСР Санкт-Петербург,developer,https://spb.cian.ru/sale/flat/303269286/,Санкт-Петербург,sale,flat,8,19,2,50.6,-1,0,10671540.0,Красногвардейский,м. Гражданский проспект,,Гражданский проспект,Ручьи ЖК
Свой Мир,real_estate_agent,https://spb.cian.ru/sale/flat/303441753/,Санкт-Петербург,sale,flat,12,12,3,61.2,-1,0,8500000.0,Красногвардейский, Коммуны,48Б,Ладожская,
LEGENDA Intelligent Development,developer,https://spb.cian.ru/sale/flat/301553851/,Санкт-Петербург,sale,flat,6,11,3,102.34,-1,0,34952500.0,Красногвардейский, Стахановцев,1,Новочеркасская,"Малоохтинский, 68"
Свой Мир,real_estate_agent,https://spb.cian.ru/sale/flat/293976174/,Санкт-Петербург,sale,flat,6,18,1,41.8,-1,0,11400000.0,Невский,Октябрьская набережная,40,Проспект Большевиков,Цивилизация на Неве
RBI,developer,https://spb.cian.ru/sale/flat/299131656/,Санкт-Петербург,sale,flat,3,14,1,21.9,-1,0,8100000.0,Фрунзенский,Волковское,,Волковская,Аэронавт ЖК
Свой Мир,real_estate_agent,https://spb.cian.ru/sale/flat/300429916/,Санкт-Петербург,sale,flat,9,25,1,32.7,-1,0,5800000.0,Пушкинский,проспект Новгородский,6,Звездная,Шушары
GloraX,developer,https://spb.cian.ru/sale/flat/303819700/,Санкт-Петербург,sale,flat,8,9,1,20.14,-1,0,9249999.0,Адмиралтейский, Шкапина,15,Балтийская,GloraX Балтийская
Свой Мир,real_estate_agent,https://spb.cian.ru/sale/flat/304601800/,Санкт-Петербург,sale,flat,2,12,1,34.5,-1,0,11750000.0,Московский,Благодатная ,50,Электросила,iD Park Pobedy
РСТИ,developer,https://spb.cian.ru/sale/flat/293496554/,Санкт-Петербург,sale,flat,6,8,3,110.3,-1,0,42355603.0,Петроградский,Петровский проспект,22к2,Крестовский остров,Familia
Свой Мир,real_estate_agent,https://spb.cian.ru/sale/flat/303281612/,Санкт-Петербург,sale,flat,1,3,2,54.3,-1,0,13900000.0,Петродворцовый,Санкт-Петербургский проспект,25,Ленинский проспект,
Мегалит–Охта Групп,developer,https://spb.cian.ru/sale/flat/302703872/,Санкт-Петербург,sale,flat,2,16,1,39.1,-1,0,10283963.0,Приморский,Коломяжский проспект,13к3,Пионерская,Приморский квартал
NF GROUP  St Petersburg,real_estate_agent,https://spb.cian.ru/sale/flat/292438602/,Санкт-Петербург,sale,flat,4,4,4,135.0,-1,0,165000000.0,Центральный,набережная Кутузова,24,Площадь Ленина,Особняк Кушелева-Безбородко
ПИК,developer,https://spb.cian.ru/sale/flat/299176050/,Санкт-Петербург,sale,flat,2,9,1,24.8,-1,0,9467772.0,Адмиралтейский,Измайловское,к 2.1,Балтийская,Лермонтовский 54 ЖК
BEYOND. ex-Engel Volkers,real_estate_agent,https://spb.cian.ru/sale/flat/300706105/,Санкт-Петербург,sale,flat,6,6,-1,547.5,-1,0,900000000.0,Петроградский,Спортивная ,2,Крестовский остров,Крестовский de luxe
Балтийская жемчужина,developer,https://spb.cian.ru/sale/flat/297299915/,Санкт-Петербург,sale,flat,3,4,2,71.7,-1,0,19511004.0,Красносельский,проспект Патриотов,33,,Riviera club
BEYOND. ex-Engel Volkers,real_estate_agent,https://spb.cian.ru/sale/flat/288832110/,Санкт-Петербург,sale,flat,2,2,-1,285.8,-1,0,299990000.0,Петроградский,набережная Реки Малой Невки,33,Чкаловская,
GloraX,developer,https://spb.cian.ru/sale/flat/291004585/,Санкт-Петербург,sale,flat,3,14,3,90.5,-1,0,25129999.0,Красногвардейский,проспект Энергетиков,2к1,,GloraX Заневский
BEYOND. ex-Engel Volkers,real_estate_agent,https://spb.cian.ru/sale/flat/303276862/,Санкт-Петербург,sale,flat,2,7,3,170.3,-1,0,185000000.0,Петроградский,Депутатская ,26,Крестовский остров,Венеция
Петербургская Недвижимость,representative_developer,https://spb.cian.ru/sale/flat/295505639/,Санкт-Петербург,sale,flat,2,12,1,33.32,-1,0,13300294.0,Василеостровский,Уральская ,,Василеостровская,Amber Club
Роман Корякин,realtor,https://spb.cian.ru/sale/flat/297155730/,Санкт-Петербург,sale,flat,6,14,2,63.88,-1,0,17200000.0,Приморский,Студенческая ,14к2,Лесная,Terra
LEGENDA Development,developer,https://spb.cian.ru/sale/flat/297998673/,Санкт-Петербург,sale,flat,3,9,3,99.12,-1,0,43156848.0,Василеостровский,20-я Васильевского острова линия,19,Василеостровская,"Большой, 67"
BEYOND. ex-Engel Volkers,real_estate_agent,https://spb.cian.ru/sale/flat/300753931/,Санкт-Петербург,sale,flat,7,7,3,251.6,-1,0,150000000.0,Центральный,Таврическая ,37,Чернышевская,
Арсенал-Недвижимость,developer,https://spb.cian.ru/sale/flat/294001537/,Санкт-Петербург,sale,flat,12,12,1,47.34,-1,0,13017980.0,Приморский, Плесецкая,6,Комендантский проспект,Ariosto!
NF GROUP  St Petersburg,real_estate_agent,https://spb.cian.ru/sale/flat/299243373/,Санкт-Петербург,sale,flat,4,8,2,70.0,-1,0,32000000.0,Петроградский,Петровский проспект,22к2,Крестовский остров,Familia
RBI,developer,https://spb.cian.ru/sale/flat/299132039/,Санкт-Петербург,sale,flat,5,14,3,86.2,-1,0,25132856.0,Фрунзенский,Волковское,,Волковская,Аэронавт ЖК
Гранит Инвест,real_estate_agent,https://spb.cian.ru/sale/flat/303575288/,Санкт-Петербург,sale,flat,2,13,3,115.6,-1,0,42772000.0,Петроградский,Барочная ,12,Чкаловская,
LEGENDA Intelligent Development,developer,https://spb.cian.ru/sale/flat/301551915/,Санкт-Петербург,sale,flat,2,12,3,78.91,-1,0,28139306.0,Выборгский,Сампсониевское,,Выборгская,Сампсониевский 32
BEYOND. ex-Engel Volkers,real_estate_agent,https://spb.cian.ru/sale/flat/301715799/,Санкт-Петербург,sale,flat,5,10,4,159.2,-1,0,130000000.0,Петроградский,Ждановская ,45,Чкаловская,Леонтьевский мыс
GloraX,developer,https://spb.cian.ru/sale/flat/303477732/,Санкт-Петербург,sale,flat,2,9,3,78.17,-1,0,21899999.0,Адмиралтейский, Шкапина,15,Балтийская,GloraX Балтийская
Active Group - Арендафон. Штаб Квартир,real_estate_agent,https://spb.cian.ru/sale/flat/303330378/,Санкт-Петербург,sale,flat,7,10,3,174.0,-1,0,99500000.0,Петроградский,Ждановская ,45,Чкаловская,Леонтьевский мыс
ПИК,developer,https://spb.cian.ru/sale/flat/291240202/,Санкт-Петербург,sale,flat,2,9,3,80.0,-1,0,27405600.0,Адмиралтейский,Измайловское,к 2.2,Балтийская,Лермонтовский 54 ЖК
Richness Realty,real_estate_agent,https://spb.cian.ru/sale/flat/299798760/,Санкт-Петербург,sale,flat,4,5,3,208.0,-1,0,39700000.0,Центральный,Суворовский проспект,17,Площадь Восстания,
Мегалит–Охта Групп,developer,https://spb.cian.ru/sale/flat/297024229/,Санкт-Петербург,sale,flat,3,16,2,53.06,-1,0,15092439.0,Приморский,Коломяжский проспект,13к3,Пионерская,Приморский квартал
BEYOND. ex-Engel Volkers,real_estate_agent,https://spb.cian.ru/sale/flat/298326191/,Санкт-Петербург,sale,flat,4,4,4,310.0,-1,0,116990000.0,Петроградский,Константиновский проспект,26Г,Крестовский остров,
AAG,developer,https://spb.cian.ru/sale/flat/303279025/,Санкт-Петербург,sale,flat,2,11,3,91.68,-1,0,32607825.0,Красногвардейский,Магнитогорская ,11К,,ALPEN
ID 60479069,homeowner,https://spb.cian.ru/sale/flat/304557521/,Санкт-Петербург,sale,flat,1,5,2,52.5,-1,0,11706191.0,Приморский,набережная Черной речки,8,Черная речка,
Петербургская Недвижимость,representative_developer,https://spb.cian.ru/sale/flat/304489608/,Санкт-Петербург,sale,flat,3,4,1,29.71,-1,0,6750260.0,Петродворцовый,,,Автово,Дворцовый фасад ЖК
Роман Корякин,realtor,https://spb.cian.ru/sale/flat/292155905/,Санкт-Петербург,sale,flat,7,14,1,35.3,-1,0,7690000.0,Приморский,Планерная ,87к1,Комендантский проспект,FoRest Аквилон
GloraX,developer,https://spb.cian.ru/sale/flat/302080222/,Санкт-Петербург,sale,flat,7,15,-1,21.3,-1,0,7100000.0,Красногвардейский,проспект Энергетиков,2к2,,Апарт-отель GloraX Заневский
М16,real_estate_agent,https://spb.cian.ru/sale/flat/303419501/,Санкт-Петербург,sale,flat,12,18,1,39.2,-1,0,14700000.0,Приморский,Фермское шоссе,14к1,Удельная,Невский стиль
ЛСР Санкт-Петербург,developer,https://spb.cian.ru/sale/flat/302458932/,Санкт-Петербург,sale,flat,2,25,1,33.2,-1,0,6457400.0,Невский,Октябрьская набережная ЖК,,Ломоносовская,Октябрьская набережная ЖК
ID 109291186,homeowner,https://spb.cian.ru/sale/flat/304613852/,Санкт-Петербург,sale,flat,4,18,3,103.7,-1,0,24500000.0,Красносельский,Ленинский проспект,88,Ленинский проспект,
Петербургская Строительная Компания,developer,https://spb.cian.ru/sale/flat/304605698/,Санкт-Петербург,sale,flat,4,13,1,36.41,-1,0,10724718.0,Калининский,Полюстровский проспект,,Площадь Мужества,Respect
Алина Аверочкина,realtor,https://spb.cian.ru/sale/flat/303064229/,Санкт-Петербург,sale,flat,5,14,2,67.7,-1,0,25000000.0,Московский,Черниговская ,17,Московские ворота,Квартал Che
Петербургская Недвижимость,representative_developer,https://spb.cian.ru/sale/flat/295387820/,Санкт-Петербург,sale,flat,2,12,2,65.49,-1,0,20400102.0,Василеостровский,Уральская ,23,Василеостровская,Amber Club
Вероника Дадыкина,realtor,https://spb.cian.ru/sale/flat/293719680/,Санкт-Петербург,sale,flat,9,17,1,41.34,-1,0,10990000.0,Приморский,переулок Ипподромный,3к1,Пионерская,Приморский квартал
PLEADA,representative_developer,https://spb.cian.ru/sale/flat/302247973/,Санкт-Петербург,sale,flat,2,8,1,28.96,-1,0,14199321.0,Петроградский,Ремесленная ,17литЗ,Чкаловская,17/33 Петровский остров
Алина Аверочкина,realtor,https://spb.cian.ru/sale/flat/304090716/,Санкт-Петербург,sale,flat,10,14,2,63.1,-1,0,26000000.0,Московский,Черниговская ,17,Московские ворота,Квартал Che
RBI,developer,https://spb.cian.ru/sale/flat/304071344/,Санкт-Петербург,sale,flat,3,15,3,84.4,-1,0,21201575.0,Выборгский,Шувалово-Озерки,,Проспект Просвещения,Струны
ID 2973190,unknown,https://spb.cian.ru/sale/flat/303886281/,Санкт-Петербург,sale,flat,7,12,2,78.0,-1,0,29800000.0,Московский,Черниговская ,17,Московские ворота,Квартал Che
Петербургская Недвижимость,representative_developer,https://spb.cian.ru/sale/flat/304447926/,Санкт-Петербург,sale,flat,3,5,1,30.68,-1,0,6350253.0,Московский,Пулковский меридиан,,Звездная,Парадный ансамбль
